O_station_name,D_station_name,Distance,discharge coefficient,Standardized distance coefficient
A,B,10.43,0.0193527452167074,0.0832136588479336
A,C,2.23,1.847187864475457,0.0177916068294239
A,D,6.49,0.117012157274674,0.0517791606829423
A,E,14.76,0.0070692376866815,0.1177596936333173
A,F,16.45,0.011521418986336,0.1312430189883516
A,G,18.2,0.0003017809971621,0.1452050422849848
A,H,1.89,1.484280032228941,0.0150789851603638
A,I,18.64,0.0080765249837674,0.1487154938567097
A,J,5.98,0.1161725452595608,0.0477102281793521
A,K,11.64,0.0052380688951402,0.0928674006701771
A,L,4.51,0.0389469769691397,0.0359821286101803
A,M,12.38,0.0090550286384183,0.0987713419498962
A,N,4.16,0.1719863999947993,0.0331897239508536
A,O,3.54,0.3886101809625267,0.0282431785543322
A,P,9.85,0.0463780207232858,0.078586245412478
A,Q,16.3,0.0095062750526929,0.1300462741343545
A,R,22.93,0.0016155228117049,0.1829423966810276
A,S,13.34,0.0146593965187102,0.1064305090154778
A,T,20.69,0.0047816007480912,0.1650710068613371
A,U,6.36,0.1073274426693959,0.0507419818094782
A,V,47.21,0.000289029684672,0.3766554970480293
A,W,31.54,0.0001927742603176,0.2516355513004627
A,X,20.8,0.0001041525575536,0.1659486197542684
A,Y,4.41,0.1791852666520123,0.0351842987075155
A,Z,36.58,0.0008918101864708,0.2918461783947662
A,AA,20.86,0.0012036695737988,0.1664273176958672
A,AB,29.28,0.000637515241566,0.2336045955002393
A,AC,16.8,0.0095204781391723,0.1340354236476783
A,AD,6.14,0.505193629375378,0.0489867560236157
A,AE,13.54,0.006473102819563,0.1080261688208074
A,AF,6.63,0.142451694514968,0.052896122546673
A,AG,7.58,0.2251447532389777,0.0604755066219881
A,AH,14.28,0.0095431342727041,0.1139301101005265
A,AI,19.3,0.0052938804984697,0.1539811712142971
A,AJ,4.91,0.1075057449570891,0.0391734482208393
A,AK,3.78,0.1708768913944178,0.0301579703207276
A,AL,21.93,0.002244118085017,0.1749640976543801
A,AM,4.45,0.0043025233556369,0.0355034306685814
A,AN,7.3,0.092522162342841,0.0582415828945268
A,AO,15.19,0.0026291260746584,0.1211903622147758
A,AP,0.51,0.899072592272203,0.0040689325035902
A,AQ,69.78,5.637561538244794e-06,0.5567257060794638
A,AR,23.3,0.002772433411925,0.1858943673208871
A,AS,4.44,0.0965930737536522,0.0354236476783149
A,AT,2.48,1.8400743600009757,0.0197861815860858
A,AU,7.89,0.0016952000916434,0.0629487793202489
A,AV,10.81,0.0133056671838269,0.0862454124780596
A,AW,10.55,0.0192942508872217,0.0841710547311313
A,AX,14.89,0.0347871712769623,0.1187968725067815
A,AY,5.03,0.2545428960778074,0.040130844104037
A,AZ,0.67,22.059072350467808,0.0053454603478538
A,BA,5.35,0.1755215046073893,0.0426838997925642
A,BB,6.18,0.0154123848920204,0.0493058879846816
A,BC,7.32,0.051644020762881,0.0584011488750598
A,BD,20.55,0.0002627692456828,0.1639540449976065
A,BE,14.88,0.0147680951278462,0.118717089516515
A,BF,3.89,0.3106765883866085,0.0310355832136588
A,BG,7.27,0.0090376849591034,0.0580022339237274
A,BH,8.1,0.068420877867322,0.0646242221158449
A,BI,5.97,0.0443447354373767,0.0476304451890856
A,BJ,11.33,0.010715309670995,0.0903941279719163
A,BK,5.77,0.0452164078151798,0.0460347853837561
A,BL,1.58,2.085889336895129,0.012605712462103
A,BM,8.5,0.0022115393598615,0.0678155417265039
A,BN,0.98,5.820460176098502,0.0078187330461145
A,BO,15.15,0.0064397352792209,0.1208712302537099
A,BP,6.41,0.1377028689571919,0.0511408967608105
A,BQ,2.2,5.837444557076446,0.0175522578586245
A,BR,38.05,0.0004974380785707,0.303574277963938
A,BS,5.32,0.0449222355038795,0.0424445508217648
A,BT,4.03,0.277881669504153,0.0321525450773895
A,BU,54.14,3.648891159943388e-05,0.4319451093026966
A,BV,17.03,0.0082578290047372,0.1358704324238072
A,BW,0.51,5.1977945381584005,0.0040689325035902
A,BX,6.67,0.0118340410473174,0.0532152545077389
A,BY,18.86,0.0065310142937326,0.1504707196425722
A,BZ,26.31,0.0002156775671282,0.2099090473910962
A,CA,13.51,0.0739930578193853,0.1077868198500079
A,CB,25.94,1.847347743354125e-05,0.2069570767512366
A,CC,5.72,0.0227598122348586,0.0456358704324238
A,CD,19.82,0.0015030551196897,0.1581298867081538
A,CE,1.47,1.782245252267574,0.0117280995691718
A,CF,0.51,1.918121095251826,0.0040689325035902
A,CG,15.41,0.000627061197904,0.1229455880006382
A,CH,2.69,0.729153730946228,0.0214616243816818
A,CI,7.49,0.0135831406160595,0.0597574597095899
A,CJ,43.25,0.0001043177937786,0.3450614329025052
A,CK,8.59,0.0579948407585369,0.0685335886389021
A,CL,12.06,0.0096514395227772,0.096218286261369
A,CM,8.44,0.138090297275443,0.067336843784905
A,CN,15.75,0.0086555199042579,0.1256582096696984
A,CO,14.95,0.0044667264627912,0.1192755704483804
A,CP,2.1,0.1489804350907029,0.0167544279559597
A,CQ,3.22,0.5155572174226495,0.025690122865805
A,CR,15.82,0.0013363764467236,0.1262166906015637
A,CS,5.32,0.2191623148566905,0.0424445508217648
A,CT,8.76,0.0100870706635339,0.0698898994734322
A,CU,3.28,0.96627040847152,0.0261688208074038
A,CV,10.69,0.0287463309804062,0.0852880165948619
A,CW,44.09,0.0001189648391573,0.3517632040848891
A,CX,23.13,5.808678517576457e-06,0.1845380564863571
A,CY,33.6,0.0029440674796937,0.2680708472953566
A,CZ,17.66,0.008641547403035,0.1408967608105951
A,DA,11.64,0.0242321610846884,0.0928674006701771
A,DB,8.38,0.040837941477606,0.0668581458433062
A,DC,19.32,0.0091085285696469,0.15414073719483
A,DD,6.15,0.0109996244794765,0.0490665390138822
A,DE,17.37,0.004554230099474,0.1385830540928674
A,DF,3.17,0.1084695308690503,0.0252912079144726
A,DG,30.07,0.0008928673999941,0.2399074517312908
A,DH,8.87,0.0226590126835195,0.0707675123663634
A,DI,11.11,0.0134412628228394,0.0886389021860539
A,DJ,9.02,0.0368318849295849,0.0719642572203606
A,DK,9.51,0.0344627923965696,0.0758736237434179
A,DL,4.96,0.0875489030693125,0.0395723631721716
A,DM,12.26,0.0204313083428582,0.0978139460666985
A,DN,2.42,0.5870176484273615,0.0193074836444869
A,DO,2.82,0.4176116958402496,0.022498803255146
A,DP,24.85,0.0030796238446777,0.1982607308121908
A,DQ,7.7,0.0293845887270197,0.0614329025051858
A,DR,3.0,0.5058810659722223,0.0239348970799425
A,DS,21.94,0.0001839925422279,0.1750438806446465
A,DT,13.35,0.0130601418171106,0.1065102920057443
A,DU,4.42,0.0470975189262095,0.035264081697782
A,DV,5.11,0.1579225298089774,0.0407691080261688
A,DW,9.32,0.1413093735393564,0.0743577469283548
A,DX,52.19,0.0002750085108701,0.416387426200734
A,DY,12.9,0.0071912420752959,0.1029200574437529
A,DZ,8.45,0.0363178261002766,0.0674166267751715
A,EA,6.64,0.0191247425696762,0.0529759055369395
A,EB,37.47,0.0002455959185104,0.2989468645284825
A,EC,27.92,0.0002890252498183,0.2227541088239987
A,ED,35.11,0.0012723524287422,0.2801180788255943
A,EE,4.08,0.451729839109357,0.0325514600287218
A,EF,15.92,0.0040519043794861,0.1270145205042284
A,EG,7.05,0.0540237912454101,0.056247008137865
A,EH,2.28,0.287145251423515,0.0181905217807563
A,EI,11.05,0.0640992858203148,0.088160204244455
A,EJ,19.05,4.709787752908838e-05,0.1519865964576352
A,EK,27.91,0.000237203812486,0.2226743258337322
A,EL,6.78,0.0020816246187598,0.0540928674006701
A,EM,18.24,0.0012535983784523,0.1455241742460507
A,EN,76.33,0.0002450222018374,0.608983564704005
A,EO,4.18,0.2005064702044367,0.0333492899313866
A,EP,4.06,0.7565876130290108,0.0323918940481889
A,EQ,14.62,0.0120364559112425,0.1166427317695867
A,ER,5.65,0.1839734767797008,0.0450773895005584
A,ES,33.19,0.0014586115379364,0.2647997446944311
A,ET,12.82,0.0248715092348818,0.1022817935216211
B,A,10.43,0.0193527452167074,0.0832136588479336
B,C,8.22,0.0296367884761548,0.0655816179990426
B,D,11.39,0.008281841496716,0.0908728259135152
B,E,25.06,0.0005346100866743,0.1999361736077868
B,F,7.39,0.0124452286749029,0.0589596298069251
B,G,18.69,6.238354427090215e-05,0.1491144088080421
B,H,12.12,0.0078684320093777,0.0966969842029679
B,I,27.77,0.0007932655245017,0.2215573639700016
B,J,14.6,0.0042486811875794,0.1164831657890537
B,K,11.78,0.0011149119459113,0.0939843625339077
B,L,7.31,0.0032318118301838,0.0583213658847933
B,M,22.7,0.0005871288026052,0.1811073879048986
B,N,6.28,0.0164518773264128,0.0501037178873464
B,O,9.18,0.0125976436317755,0.0732407850646242
B,P,0.88,1.2666986560383666,0.0070209031434498
B,Q,15.17,0.0023925906759936,0.1210307962342428
B,R,21.0,0.0004198910304862,0.1675442795595979
B,S,12.85,0.0034440978267818,0.1025211424924206
B,T,10.48,0.0040628024865813,0.083612573799266
B,U,14.08,0.0047739040490352,0.112334450295197
B,V,37.9,9.776558713312278e-05,0.3023775331099409
B,W,21.36,9.162709326819744e-05,0.1704164672091909
B,X,25.38,1.5249912648985749e-05,0.202489229296314
B,Y,11.59,0.0056554424468273,0.0924684857188447
B,Z,26.68,0.0003654619466878,0.2128610180309557
B,AA,30.81,0.0001202836163994,0.24581139301101
B,AB,18.97,0.0003310945545209,0.1513483325355034
B,AC,25.87,0.0008752627561835,0.2063985958193713
B,AD,16.53,0.0151950762333001,0.1318812829104834
B,AE,12.68,0.0016090343286433,0.1011648316578905
B,AF,5.72,0.0417211817887216,0.0456358704324238
B,AG,3.84,0.1912457426094714,0.0306366682623264
B,AH,23.28,0.0007827723563643,0.1857348013403542
B,AI,17.87,0.0013461505386021,0.1425722036061911
B,AJ,6.31,0.0141902459055507,0.0503430668581458
B,AK,14.12,0.0026696327640637,0.1126535822562629
B,AL,11.63,0.0017394723203071,0.0927876176799106
B,AM,6.64,0.0004212705333129,0.0529759055369395
B,AN,17.44,0.0035338858415433,0.1391415350247327
B,AO,25.61,0.0002016330808289,0.2043242380724429
B,AP,10.49,0.0004632742026164,0.0836923567895324
B,AQ,80.2,9.303759425901856e-07,0.639859581937131
B,AR,12.9,0.0019717303814541,0.1029200574437529
B,AS,14.73,0.0019132001911298,0.1175203446625179
B,AT,8.53,0.0339074129844005,0.0680548906973033
B,AU,16.75,8.199725873121954e-05,0.1336365086963459
B,AV,21.2,0.0007541718274099,0.1691399393649273
B,AW,19.83,0.0011905328824099,0.1582096696984203
B,AX,4.98,0.0677959589781481,0.0397319291527046
B,AY,15.07,0.0061819349276112,0.1202329663315781
B,AZ,10.42,0.0198817860210516,0.0831338758576671
B,BA,12.91,0.0065711199571183,0.1029998404340194
B,BB,12.79,0.0007844399260414,0.1020424445508217
B,BC,12.17,0.0040730058652976,0.0970958991543003
